id,name,address,lat,lng,disabled,diaper,hours,male_toilet,male_urinal,female_toilet,emergency_bell,cctv,data_date
pd-3928,조암터미널,경기도 화성시 만세구 우정읍 조암남로 3-3 (조암리),37.08221487,126.8162263,false,true,24시간,2,3,3,false,false,2024-01-29
pd-3929,조암시장,경기도 화성시 만세구 우정읍 조암남로 58-1,37.08454122,126.8218138,true,true,24시간,3,4,3,false,false,2024-01-29
pd-3930,우정 공영주차장,경기도 화성시 만세구 우정읍 조암남로33번길 6,37.08452929,126.8187997,false,true,24시간,2,2,2,false,false,2024-01-29
pd-3931,쌍봉산 근린공원,경기도 화성시 만세구 우정읍 조암리 391-14,37.0897716,126.8176836,false,true,24시간,5,5,5,false,false,2024-01-29
pd-3932,(주)에스디에너텍베스타주유소,경기도 화성시 만세구 우정읍 포승향남로 1129 (이화리),37.04805723,126.7968132,false,true,24시간,1,2,1,false,false,2024-01-29
pd-3933,쌍둥이주유소,경기도 화성시 만세구 우정읍 포승향남로 1207 (석천리),37.05459296,126.796193,false,true,24시간,2,2,2,false,true,2024-01-29
pd-3934,기아SK주유소,경기도 화성시 만세구 우정읍 포승향남로 1208 (석천리),37.0546632,126.7969001,false,true,24시간,1,1,2,false,false,2024-01-29
pd-3935,풍년주유소,경기도 화성시 만세구 우정읍 포승향남로 1420 (화산리),37.07367894,126.798928,false,true,24시간,1,1,1,false,true,2024-01-29
pd-3936,(주)소모에너지엔테크놀러지우정주유소/충전소,경기도 화성시 만세구 우정읍 포승향남로 976 (이화리),37.03655293,126.8060204,false,true,24시간,1,1,2,false,false,2024-01-29
pd-3937,KH에너지(주)직영덕우충전소,경기도 화성시 만세구 팔탄면 포승향남로 2294 (덕우리),37.13112533,126.8556208,false,true,11시간,1,1,2,false,true,2024-01-29
pd-3938,발안파출소,경기도 화성시 만세구 향남읍 3.1만세로 1095,37.13193739,126.9073677,false,true,11시간,0,0,0,false,false,2024-01-29
pd-3939,지에스발안IC주유소,경기도 화성시 만세구 향남읍 3.1만세로 911 (제암리),37.12164087,126.892144,false,true,11시간,2,2,2,false,false,2024-01-29
pd-3940,궁도장,경기도 화성시 만세구 향남읍 도이2길 113-26 (도이리),37.13912791,126.9290888,false,true,11시간,3,3,5,false,false,2024-01-29
